wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
11,2,0,7,26,0,5,2,11,0.58,181,1,0,0.5294118,0.4090909,0,0,15,1,0.72727275,0
6,3,0,4,17,0,0,4,6,0.64,131,1,0,0.88095236,0.5555556,2,2,20,1,0.8333333,0
2,4,0,1,5,1,0,1,2,2,10,0,0,0.98550725,0.75,1,1,4,1,0.5,0
8,4,0,6,26,22,0,6,6,0.5714286,95,1,0,0.9285714,0.40625,1,1,10.75,2,1,0
4,1,0,11,18,6,1,10,2,2,97,0,0,0,0.5,0,0,23.25,1,0.75,0
16,4,0,7,38,84,0,7,14,0.94358975,234,0.46153846,0,0.7619048,0.375,2,3,12.8125,6,1.3125,0
11,4,0,6,35,9,0,6,8,0.7,217,1,2,0.8863636,0.36363637,2,2,18.363636,3,1.4545455,0
5,4,0,6,17,6,2,6,5,0.75,94,1,0,0.92727274,0.6,2,2,17.4,3,1.2,0
2,1,0,2,3,0,2,0,1,0,12,1,0,0,0.75,0,0,4.5,1,0.5,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.95454544,0.5555556,1,12,3,1,0.6666667,0
7,3,0,3,16,13,0,3,6,0.75,55,0.5,0,0.8,0.8333333,0,0,6.571429,2,0.85714287,0
6,1,0,9,6,15,8,1,6,1.2,10,0,0,0,0.7222222,0,0,0,1,1,0
14,3,0,7,43,57,0,7,10,0.7692308,386,1,1,0.74,0.31428573,0,0,26.071428,2,1.1428572,0
4,1,0,5,4,6,3,3,4,2,4,0,0,0,0.625,0,0,0,1,1,0
2,2,1,17,14,0,13,5,2,0,103,0,1,0.875,0.6666667,0,0,50,1,0.5,0
4,2,0,6,14,2,1,5,4,0.6666667,68,1,1,0.75,0.5,0,0,15.5,1,0.75,1
1,1,0,2,1,0,2,0,0,2,2064,0,0,0,0,0,0,2052,0,0,0
3,2,0,10,16,3,0,10,2,2,105,0,0,0.8,0.6666667,0,0,34,2,1,0
21,4,0,7,45,168,0,7,16,0.9230769,302,0.53846157,0,0.7058824,0.39285713,2,3,12.761905,7,1.4761904,0
3,2,0,19,10,3,14,5,3,2,38,0,0,0.9230769,0.5833333,0,0,11.666667,1,0.33333334,0
11,5,0,8,49,21,2,6,9,0.55,265,1,0,0.8961039,0.36363637,2,4,22.727272,7,1.7272727,0
8,2,0,5,19,8,0,5,7,1,165,0.3,0,0.5625,0.6875,0,0,18.375,2,1,0
6,5,0,8,21,0,5,3,6,0.6,104,0.5,0,0.88372093,0.33333334,2,5,16,4,1.6666666,0
7,1,0,16,7,21,15,1,7,2,7,0,0,0,1,0,0,0,1,1,1
3,2,1,8,43,3,2,6,1,2,250,0,0,0.9,0.5555556,1,1,82.333336,9,3.3333333,1
7,5,0,4,23,0,1,3,5,0.5555556,150,1,0,0.8484849,0.47619048,2,5,20,4,1.1428572,0
4,4,0,4,13,0,1,3,4,0,87,1,0,0.9285714,0.75,2,4,20.5,1,0.5,0
2,3,0,3,7,1,1,3,2,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
6,4,0,7,29,0,0,7,5,0.76,195,1,0,0.91071427,0.41666666,0,0,30.666666,1,0.8333333,0
2,1,0,6,2,1,6,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
7,1,0,1,11,7,1,0,7,0.33333334,105,1,0,0,0.71428573,0,0,13.571428,7,1.4285715,0
8,1,0,9,13,12,8,1,8,0.42857143,109,1,0,0,0.5,0,0,12.25,3,1.125,0
8,1,0,1,14,28,1,0,8,2,271,0,0,0,0.45,0,0,32.875,7,2.875,0
3,2,0,4,19,3,0,4,2,2,136,0,0,0.8,0.6666667,0,0,44.333332,2,1,0
3,4,0,4,11,0,0,4,3,0,53,1,0,0.9622642,0.6666667,1,1,16.333334,1,0.6666667,0
6,1,0,2,11,3,1,1,4,0.6,53,1,0,0,0.6666667,0,0,7.5,1,0.8333333,0
3,4,0,4,10,0,0,4,3,0,55,0,0,0.9622642,0.6666667,1,1,17,1,0.6666667,0
11,4,0,7,33,37,0,7,8,0.9,178,0.42857143,0,0.82758623,0.38636363,2,3,14.545455,4,1.3636364,0
0,1,0,1,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0
3,4,0,4,10,0,0,4,3,0,55,0,0,0.9622642,0.6666667,1,1,17,1,0.6666667,0
2,1,0,1,11,0,1,0,1,0,47,1,0,0,0.8333333,0,0,22,3,1.5,0
17,4,0,8,32,16,0,8,16,0.8229167,140,1,2,0.6862745,0.23529412,1,1,6.882353,1,0.9411765,0
0,1,0,1,0,0,1,0,0,2,26,0,0,0,0,0,0,0,0,0,0
8,4,0,5,39,4,0,5,7,0.71428573,274,1,0,0.91764706,0.46875,4,4,32.5,5,1.375,0
2,3,0,3,4,0,1,2,1,0,14,1,1,0.9166667,0.6666667,1,1,5.5,1,0.5,0
2,2,0,6,13,1,1,5,2,2,66,1,0,0.9583333,1,0,0,31.5,1,0.5,0
7,5,0,4,17,0,1,3,5,0.7777778,107,1,0,0.8484849,0.47619048,2,5,13.857142,5,1.2857143,0
2,3,0,3,15,1,0,3,0,2,58,0,0,0.95238096,0.6666667,1,1,28,1,0.5,0
3,1,0,0,7,0,0,0,3,0,19,1,0,0,0.6666667,0,0,5,1,0.6666667,0
22,4,0,8,46,189,0,8,16,0.9194139,333,0.53846157,0,0.6956522,0.39772728,2,3,13.545455,8,1.5454545,0
1,2,1,3,2,0,2,1,1,2,4,0,0,1,1,0,0,3,0,0,0
3,2,0,5,12,3,1,4,1,2,40,0,0,0.85714287,0.6666667,0,0,12.333333,1,0.6666667,0
3,1,0,2,13,1,1,1,3,1.4411764,76,0.05882353,1,0,0.5,0,0,18.666666,4,1.6666666,0
10,5,0,5,30,0,1,4,6,0.6888889,328,1,1,0.7777778,0.375,2,5,30.8,12,2.3,0
3,1,0,1,5,3,1,0,3,2,24,0,0,0,0.6666667,0,0,7,4,1.6666666,0
7,1,0,2,7,21,2,0,7,2,7,0,0,0,0.64285713,0,0,0,1,1,0
7,1,0,24,8,3,24,0,7,0.6666667,43,1,0,0,0.71428573,0,0,4.714286,1,0.85714287,0
10,3,0,2,20,21,0,2,9,0.6,129,1,0,0.8043478,0.4,1,1,11.4,1,0.9,0
6,3,0,5,21,3,0,5,5,0.75,104,1,1,0.902439,0.53333336,1,1,15.666667,1,0.6666667,0
13,4,0,4,22,56,0,4,12,0.9469697,298,1,0,0.82258064,0.4722222,2,2,21.076923,4,1.0769231,0
7,3,0,10,46,9,1,9,4,0.73333335,212,0.6,0,0.8604651,0.2857143,1,1,28.571428,4,2,1
9,4,0,7,37,10,1,7,6,0.9296875,323,1,1,0.86440676,0.2777778,0,0,33.11111,4,1.4444444,0
6,2,0,4,12,0,4,0,6,0,70,1,0,0.5,0.45833334,1,1,10.333333,1,0.8333333,0
6,1,0,5,26,15,1,4,0,2,211,0,0,0,0.4,0,0,34.166668,3,1.3333334,0
17,5,0,6,35,130,0,6,12,0.9910714,207,1,0,0.8699187,0.3529412,2,3,10.764706,3,1.1764706,1
3,3,0,3,10,0,0,3,3,0,32,1,0,0.94871795,0.6666667,0,0,9.333333,1,0.6666667,0
2,1,0,0,3,0,0,0,1,0,12,1,0,0,0.75,0,0,4.5,1,0.5,0
8,3,0,2,40,10,0,2,8,0.71428573,281,1,0,0.84090906,0.325,1,1,33.625,4,1.25,0
4,1,0,8,5,6,7,1,4,2,16,0,0,0,0.875,0,0,3,1,0.75,0
4,6,0,8,13,6,6,2,4,2,44,0,0,0.969697,0.625,2,3,10,2,1,0
3,1,0,38,3,3,38,0,3,2,3,0,0,0,1,0,0,0,1,1,0
5,1,0,31,5,10,31,0,5,2,5,0,0,0,0.53333336,0,0,0,1,1,0
8,1,9,13,20,12,9,4,8,0.8,101,0.2,1,0,0.40625,0,0,11,1,0.875,0
4,1,0,4,8,4,0,4,3,0.6666667,45,1,1,0,0.5555556,0,0,10,1,0.5,0
1,1,0,3,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
2,3,0,3,8,1,1,3,2,2,33,0,0,0.969697,1,0,0,15.5,1,0.5,0
7,1,0,5,12,11,1,4,7,0.6666667,72,1,0,0,0.5714286,0,0,8.857142,5,1.4285715,0
1,4,0,1,3,0,1,0,1,2,6,0,0,1,1,0,0,5,0,0,0
15,3,15,27,41,57,17,11,13,0.8181818,312,1,0,0.7254902,0.45,0,0,19.066668,4,1.1333333,0
2,3,0,2,3,1,2,0,2,2,7,0,0,0.90909094,0.75,1,1,2.5,1,0.5,0
2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,1,1,0
1,1,0,4,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,0
4,4,0,4,13,0,0,4,4,0.33333334,81,1,0,0.9444444,0.5,1,1,18.75,1,0.75,0
9,1,1,4,19,30,1,3,7,0.5,130,1,0,0,0.6666667,0,0,13.333333,4,1.2222222,0
7,5,0,6,31,0,0,6,6,0.25,163,1,0,0.9479167,0.2857143,3,10,22,5,1.4285715,0
10,3,0,6,38,9,0,6,10,0.7962963,260,0.8333333,1,0.8043478,0.34,3,3,24.4,16,2.7,3
10,5,0,7,32,0,1,6,7,0.6888889,221,1,0,0.7777778,0.3,2,5,20.6,5,1.2,0
11,1,0,4,36,51,4,0,8,1.01,314,0.6,0,0,0.22,0,0,26.636364,4,1.3636364,1
9,1,1,8,21,22,1,7,7,0.5416667,135,1,0,0,0.6666667,0,0,13.666667,4,1.2222222,0
7,4,0,4,14,15,1,4,5,0.8333333,56,0.6666667,0,0.8947368,0.47619048,1,1,6.571429,1,0.85714287,0
6,1,0,2,11,3,1,1,6,0.6,51,1,0,0,0.6666667,0,0,7.1666665,1,0.8333333,0
5,1,0,1,19,0,1,0,3,0.5,108,1,0,0,0.53333336,0,0,20.2,3,1.4,0
6,5,0,1,12,15,1,0,6,2,74,0,0,0.95454544,0.5,2,7,11.333333,3,1.8333334,0
4,4,0,4,14,0,0,4,4,0.5,108,0.5,0,0.9444444,0.75,3,3,25.5,1,0.75,0
9,4,0,5,20,28,0,5,9,0.78125,156,1,0,0.86440676,0.4814815,2,2,15.888889,1,0.8888889,0
7,4,0,9,22,21,4,5,6,2,103,0,0,0.9456522,0.5714286,3,5,13.714286,3,1.4285715,0
20,4,0,7,39,148,0,7,16,0.9230769,285,0.53846157,0,0.7164179,0.375,2,2,12.6,5,1.3,0
13,4,0,7,37,66,0,7,9,0.875,184,0.5,0,0.8,0.51282054,2,3,12.846154,4,1.3846154,0
11,4,3,12,41,19,3,9,9,0.81666666,240,0.6666667,0,0.8113208,0.29090908,0,0,20.272728,4,1.2727273,0
7,1,0,12,46,21,4,8,0,2,264,0,0,0,0.30952382,0,0,36.714287,9,2,0
2,1,0,2,8,1,1,1,2,2,48,0,0,0,0.5,0,0,23,1,0.5,0
5,1,0,2,7,4,2,0,0,0.5,39,1,0,0,0.7,0,0,6.2,1,0.6,0
13,3,4,12,42,54,5,7,8,0.7916667,233,1,1,0.71428573,0.26153848,1,3,16.615385,6,2,1
4,2,0,6,14,0,1,6,3,0,96,1,1,0.9166667,0.5,1,3,22.75,5,1.75,0
12,1,0,2,42,0,1,1,12,0.38636363,234,1,0,0,0.44444445,0,0,18.166666,4,1.5833334,0
4,3,0,4,10,2,0,4,4,0.6666667,48,1,0,0.925,0.5,0,0,10.5,1,0.75,0
4,1,0,4,5,0,3,1,4,0.33333334,24,1,0,0,0.875,0,0,4.75,1,0.75,0
3,2,0,3,10,0,2,1,3,0,44,1,0,0.75,0.5555556,1,1,13.333333,4,1.6666666,0
4,2,0,4,15,0,1,3,4,0.6666667,105,1,0,0.75,0.5,0,0,24.5,1,0.75,0
7,2,0,11,74,15,0,11,2,0.7222222,487,0.33333334,0,0.72727275,0.36734694,2,4,68.14286,13,3.142857,4
7,5,0,3,8,15,2,1,4,0.8333333,34,1,0,0.9381443,0.47619048,0,0,3.4285715,1,0.85714287,0
2,2,0,8,26,1,1,7,2,2,149,0,0,0.9583333,1,0,0,73.5,1,0.5,0
5,1,0,3,9,0,1,2,5,0.6666667,64,1,0,0,0.53333336,0,0,11.2,1,0.8,0
7,1,1,6,8,3,6,0,7,0.6666667,43,1,0,0,0.47619048,0,0,4.714286,1,0.85714287,0
11,2,1,8,27,21,2,7,9,0.73333335,94,1,1,0.6086956,0.4,2,3,7.2727275,1,0.8181818,0
21,6,1,10,42,126,2,8,15,0.7875,274,1,0,0.87142855,0.17857143,5,19,11.666667,4,1.3809524,0
17,1,0,2,81,100,1,1,9,0.7125,654,0.8,0,0,0.27450982,0,0,37.17647,7,2.0588236,0
9,4,0,9,61,14,0,9,7,0.7708333,586,1,1,0.90697676,0.33333334,4,4,63.444443,8,2.1111112,0
5,3,0,5,16,0,1,5,5,0.5,82,1,2,0.902439,1,1,1,15,3,1.2,0
9,4,0,6,25,18,0,6,8,0.875,120,0.5,0,0.84313726,0.3611111,1,1,11.666667,4,1.2222222,0
6,1,0,1,8,0,0,1,6,0,43,1,1,0,0.6666667,0,0,6,1,0.8333333,0
3,1,0,4,19,1,0,4,2,0.5,89,1,0,0,0.5,0,0,28.333334,1,0.33333334,0
7,3,0,9,39,1,0,9,7,0.7083333,260,1,2,0.8604651,0.2857143,2,2,35.57143,1,0.85714287,1
10,3,0,8,32,15,2,6,10,0.6666667,166,1,1,0.7692308,0.3,1,1,15.3,3,1.4,0
5,5,0,8,16,0,5,3,3,0.5833333,105,1,1,0.9318182,0.5833333,1,1,19.4,9,2.2,0
5,5,0,3,19,4,1,2,4,0.25,107,1,0,0.9032258,0.7,2,5,20.2,1,0.6,0
11,2,3,11,39,7,9,2,10,0.96060604,605,1,1,0.5833333,0.25974026,0,0,51,15,2.909091,0
13,2,0,8,49,54,1,7,7,0.84375,450,1,0,0.72727275,0.34615386,2,6,33,6,1.3076923,1
5,1,0,11,5,10,7,4,5,2,5,0,0,0,0.5,0,0,0,1,1,0
6,1,0,8,6,15,7,1,6,2,6,0,0,0,0.44444445,0,0,0,1,1,0
31,1,0,5,70,407,2,3,13,0.9047619,615,0.9047619,2,0,0.31612903,0,0,18.161291,11,1.451613,0
4,4,0,4,20,0,1,3,4,0.7777778,162,0.6666667,0,0.9285714,0.75,2,4,38.75,1,0.5,0
3,1,0,2,21,1,0,2,2,0.5,120,1,0,0,0.6666667,0,0,38.333332,6,3,0
9,2,1,2,23,0,2,0,9,0.5,246,1,0,0.5625,0.33333334,1,2,25.88889,1,0.7777778,0
20,1,0,7,79,136,5,5,10,0.89750695,835,1,1,0,0.19375,0,0,39.8,10,1.95,0
17,4,0,8,41,104,3,6,14,0.8125,185,1,0,0.7910448,0.328125,2,10,9.764706,4,1.2941177,0
9,5,0,15,34,4,6,9,9,0.78571427,266,0.42857143,0,0.82608694,0.2962963,1,4,27.777779,11,2.8888888,0
3,2,0,1,10,0,0,1,1,0,67,1,1,0.71428573,0.6666667,1,1,20.333334,1,0.6666667,0
1,5,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
9,1,0,4,19,14,3,1,9,0.65625,88,1,0,0,0.5185185,0,0,8.333333,1,0.8888889,0
25,3,1,35,39,0,9,26,25,0,189,1,0,0.5555556,0.08,1,1,6.52,1,0.96,0
6,2,0,7,31,3,1,7,5,0.7,123,0.5,1,0.6,0.55,0,0,19.166666,2,0.8333333,0
4,1,0,5,10,0,1,4,4,0.33333334,36,1,0,0,0.4375,0,0,7.75,1,0.75,0
10,4,0,15,36,3,6,9,10,0.5833333,249,1,2,0.79545456,0.26666668,1,3,23.5,7,2.4,0
13,3,0,10,36,20,0,10,9,0.71666664,369,1,1,0.75510204,0.21153846,1,1,27,6,1.4615384,0
3,4,0,5,20,3,0,5,1,1,71,0,0,0.96153843,1,2,4,22.333334,3,1.6666666,0
19,1,2,9,21,145,4,5,18,0.9548611,143,1,3,0,0.23026316,0,0,5.6842103,1,0.94736844,1
3,1,0,4,19,0,1,3,2,0.75,101,0.5,0,0,0.6666667,0,0,32,1,0.6666667,0
24,4,0,7,43,222,0,7,20,0.943734,309,0.5294118,0,0.6760563,0.375,2,2,11.166667,8,1.375,0
14,3,0,9,52,15,1,8,10,0.7307692,468,0,1,0.74,0.21428572,2,2,31.857143,2,1.0714285,0
10,5,0,6,29,0,1,5,7,0.6888889,212,1,0,0.7777778,0.3,2,5,19.7,5,1.2,0
7,5,0,9,25,0,6,3,7,0.6666667,255,0,0,0.8636364,0.34285715,2,5,34.857143,9,3.142857,0
8,1,0,2,9,0,2,0,0,0.42857143,1107,0,0,0,0.71428573,0,0,137.125,3,1.125,0
2,4,0,2,9,1,0,2,2,2,22,0,0,0.98550725,1,1,1,10,1,0.5,0
12,2,2,8,25,0,2,6,10,0.36363637,91,1,2,0.45,0.2777778,1,1,6.4166665,2,1,1
9,1,0,5,19,8,4,1,9,0.53125,119,1,0,0,0.5185185,0,0,11.777778,3,1.4444444,0
1,1,0,13,1,0,11,2,1,2,3,0,0,0,1,0,0,0,1,1,0
6,4,5,64,17,15,59,5,5,2,67,0,0,0.95604396,0.5833333,3,4,10.166667,2,1.1666666,0
15,3,3,10,47,39,4,6,11,0.54761904,310,1,0,0.6818182,0.22222222,2,5,19.466667,7,1.8666667,1
6,3,6,10,10,3,7,3,6,0.4,46,1,0,0.85714287,0.5,0,0,6.5,3,1.5,0
10,4,0,6,32,41,1,5,9,0.8888889,134,1,0,0.8833333,0.4074074,1,6,12.2,3,1.3,0
3,2,0,1,17,0,0,1,1,0.96875,251,1,0,0.8888889,0.5,1,3,77.333336,11,5.3333335,0
8,5,0,11,31,0,6,5,8,0.6938776,329,0.5714286,1,0.84444445,0.25,1,4,39.25,19,4.625,0
7,5,0,15,32,1,6,9,7,0.625,209,0.75,2,0.8636364,0.34285715,1,4,28.285715,9,2.5714285,0
13,1,0,12,32,70,10,2,9,0.8333333,155,1,1,0,0.083333336,0,0,10.615385,2,0.9230769,0
10,2,0,3,30,27,1,2,5,0.7619048,245,1,1,0.35714287,0.28333333,1,1,22.8,2,1,0
8,1,2,4,17,16,3,2,7,0.2857143,89,1,0,0,0.4375,0,0,10,6,1.875,0
2,2,0,10,22,1,1,9,2,1.25,163,0.25,0,0.9583333,1,0,0,78.5,1,0.5,0
7,2,0,3,30,9,0,3,5,1.0625,278,0.375,0,0.64285713,0.5555556,0,0,36.42857,3,1,0
10,1,1,6,26,41,1,5,5,0.8333333,129,1,1,0,0.37037036,0,0,11.7,3,1.4,0
4,3,0,5,7,0,3,2,4,0.8333333,33,0.5,0,0.90909094,0.5833333,0,0,6.75,2,1,1
3,2,0,10,23,3,1,9,2,2,145,0,0,0.92,1,0,0,47.333332,10,3.6666667,0
5,2,0,10,34,10,1,9,2,1.25,171,0.33333334,0,0.8518519,0.46666667,0,0,32.6,7,2,0
11,2,0,17,15,13,15,3,11,0.75,97,1,3,0.2,0.22077923,0,0,7.2727275,1,0.72727275,0
12,1,0,8,34,26,6,3,6,0.6515151,341,1,0,0,0.3125,0,0,26.916666,1,0.8333333,0
19,4,0,8,84,103,0,8,14,0.92948717,1034,1,1,0.8210526,0.26984128,0,0,52.05263,1,0.8947368,0
41,2,0,6,60,402,3,3,8,0.88916665,4541,0.93333334,2,0.11627907,0.19166666,1,1,109.02439,47,5.585366,6
3,2,0,5,12,3,1,4,2,2,44,0,0,0.92,1,1,1,13.666667,1,0.6666667,0
3,2,0,2,5,0,1,1,3,0,34,1,1,0.8181818,0.5,1,2,10,1,0.6666667,0
4,2,0,3,26,0,0,3,1,1,115,1,0,0.72727275,0.625,2,3,27,1,0.75,0
4,4,0,10,20,2,0,10,4,0.6666667,112,1,1,0.9318182,0.5,1,1,26.5,4,2,0
0,1,0,1,0,0,1,0,0,2,25,0,0,0,0,0,0,0,0,0,0
18,3,0,8,52,101,2,8,9,0.8613445,519,0.9285714,2,0.6851852,0.19444445,0,0,27.055555,7,1.5,1
8,4,2,9,24,8,2,7,6,0.74285716,143,1,3,0.85365856,0.42857143,1,3,16.25,4,1.5,0
5,3,0,8,26,10,1,8,3,2,144,0,0,0.88235295,0.4,0,0,27.8,6,3,0
4,1,0,2,17,6,1,1,3,2,127,0,0,0,0.375,0,0,30.75,6,2.5,0
13,2,0,8,37,60,1,8,7,0.8333333,331,1,0,0.56,0.41666666,2,3,24.076923,4,1.3076923,0
3,4,0,6,22,3,0,6,1,1,82,0,0,0.96153843,1,2,4,26,3,1.6666666,0
8,3,1,10,45,2,1,9,8,0.71428573,336,1,1,0.84090906,0.35,2,2,40.25,2,1.125,1
8,1,0,6,24,0,1,5,6,0.52380955,133,1,0,0,0.325,0,0,15.25,6,2,0
4,1,0,6,4,6,3,4,4,2,4,0,0,0,0.625,0,0,0,1,1,0
4,1,0,13,14,6,0,13,4,1,56,1,1,0,0.375,0,0,12.75,1,0.75,0
5,2,0,7,69,8,1,7,2,1,379,1,0,0.85714287,0.41666666,0,0,74.4,12,3.2,4
6,4,0,9,33,0,0,9,6,0.68,205,1,1,0.939759,0.41666666,2,4,32.333332,1,0.8333333,0
10,1,0,10,29,43,7,3,8,0.8333333,91,0.5,1,0,0.2,0,0,7.9,3,1.2,0
7,1,0,3,26,0,1,2,7,0.5,218,1,0,0,0.47619048,0,0,29.571428,5,2.2857144,0
35,1,0,8,73,353,6,2,34,0.8071895,776,0.7777778,0,0,0.16,1,1,20.657143,4,1.2,1
4,3,0,3,18,4,0,3,3,1,111,1,0,0.925,0.75,2,2,26.25,2,1,0
8,3,0,10,15,0,6,4,5,0.5952381,110,0.8333333,2,0.8333333,0.5714286,0,0,12,2,1.375,0
36,3,0,12,111,528,0,12,32,0.94714284,1006,1,0,0.5138889,0.22222222,2,2,26.38889,3,1.0833334,0
21,1,0,2,36,38,2,0,17,0.6318182,620,0.8181818,0,0,0.2936508,0,0,28,3,0.85714287,1
5,1,0,3,41,10,1,2,4,2,241,0,0,0,0.36,0,0,47.2,7,4.2,0
12,3,0,11,28,36,5,6,10,0.72727275,214,1,2,0.73170733,0.5555556,1,1,16.25,1,0.9166667,0
18,5,0,11,60,39,0,11,16,0.60784316,305,1,1,0.86290324,0.2685185,4,7,15.777778,4,1.2222222,1
20,1,0,4,40,130,0,4,18,0.7368421,345,1,1,0,0.28421053,0,0,15.9,3,1.15,1
10,3,6,9,20,21,7,2,5,0.8148148,146,1,1,0.6923077,0.22857143,1,2,13.3,1,0.8,0
6,1,0,4,15,3,1,3,5,0.75,70,1,1,0,0.53333336,0,0,10,1,0.6666667,0
8,3,0,5,30,8,0,5,7,0.71428573,214,1,1,0.84090906,0.5,2,2,25.25,6,1.75,0
2,2,0,5,4,1,4,1,2,2,10,0,0,1,0.6666667,0,0,4,0,0,0
7,1,0,6,25,1,1,5,6,0.6111111,104,1,0,0,0.34285715,0,0,13.428572,3,1.1428572,0
7,3,3,12,26,9,3,9,4,1.0416666,106,0.375,0,0.8604651,0.42857143,0,0,13,3,1.1428572,0
9,3,0,3,20,34,1,2,9,0.625,177,1,1,0.7619048,0.33333334,1,3,18.555555,4,1.1111112,0
4,4,0,6,29,6,0,6,1,1.1666666,164,0.5,0,0.9423077,1,3,5,39.5,7,2.5,0
3,2,0,8,24,3,1,7,2,2,116,0,0,0.92,0.5555556,0,0,37.666668,4,1.6666666,0
2,4,0,3,5,1,0,3,2,2,12,0,0,0.9777778,0.75,0,0,5,1,0.5,0
25,2,0,18,117,230,2,17,14,0.9583333,877,0.7894737,0,0.5714286,0.22222222,1,4,33.32,5,1.64,2
13,4,0,6,72,22,0,6,8,0.89880955,623,0.5714286,2,0.8764045,0.27380952,1,2,45.846153,1,0.84615386,1
0,1,0,2,0,0,2,0,0,2,22,0,0,0,0,0,0,0,0,0,0
28,3,0,13,85,248,5,8,24,0.8765432,860,0.95238096,3,0.5263158,0.18928571,1,4,28.964285,28,3.3214285,0
7,1,0,3,22,0,3,1,6,0.7083333,112,0.75,0,0,0.47619048,0,0,14.428572,4,1.4285715,1
24,4,2,7,50,270,2,5,20,0.4347826,250,1,1,0.70666665,0.16203703,2,15,9.375,5,1.375,0
8,6,0,7,31,16,0,7,4,0.8095238,147,1,1,0.9625,0.35714287,3,9,17,2,0.875,1
12,1,0,3,22,44,1,2,5,0.8051948,156,1,1,0,0.26190478,0,0,11.416667,4,1.25,0
15,1,0,7,34,75,2,5,11,0.9,286,0.7,0,0,0.20833333,0,0,17.4,5,1.5333333,0
6,3,0,5,27,3,1,5,4,0.4,135,1,0,0.88095236,0.5,0,0,21.166666,2,1,0
2,2,0,8,21,1,1,7,2,1.625,167,0,0,0.9285714,1,0,0,78.5,1,0.5,2
12,1,1,8,31,46,2,6,12,0.8363636,223,1,0,0,0.27083334,0,0,17.166666,1,0.9166667,0
8,1,0,7,33,0,0,7,8,0.71428573,305,0.25,0,0,0.9375,0,0,36.625,5,3,1
4,4,0,9,36,0,0,9,3,0.8666667,179,0.6,1,0.95238096,0.5,0,0,42.5,6,2,1
2,1,0,6,30,0,0,6,0,0,182,1,2,0,0.6,0,0,88.5,9,4.5,0
7,1,1,6,9,15,6,0,7,0.8333333,42,1,0,0,0.71428573,0,0,4.571429,1,0.85714287,0
14,3,2,8,38,83,2,6,8,0.74358976,220,1,1,0.74,0.29761904,1,1,14.5,4,1.2142857,2
3,1,0,6,4,3,6,0,3,2,20,0,0,0,0.5,0,0,5.6666665,2,1,0
16,1,0,12,75,50,0,12,12,0.93703705,682,1,1,0,0.2888889,0,0,40.5,9,2.875,1
14,5,0,7,49,7,1,6,7,0.73504275,488,1,0,0.7,0.25,2,5,33.214287,12,1.7857143,1
6,3,0,6,33,3,0,6,6,0.75,292,1,1,0.88095236,0.33333334,0,0,47,14,3.1666667,2
4,4,0,5,26,6,0,5,1,1.1666666,129,0.5,0,0.9423077,1,3,5,30.75,5,2,0
2,3,0,1,5,1,0,1,2,2,17,0,0,1,1,0,0,7.5,0,0,0
3,3,2,8,6,1,7,1,3,0.5,25,1,0,0.88235295,0.8333333,1,1,7,3,1.3333334,0
14,1,0,16,86,41,3,14,8,0.89102566,451,0.8333333,2,0,0.24358974,0,0,30.357143,3,1,0
4,1,1,8,26,6,4,4,2,2,152,0,0,0,0.75,0,0,37,7,2.25,0
4,1,1,8,10,0,6,2,4,0,51,1,0,0,0.625,0,0,11.5,1,0.75,0
7,3,0,11,28,0,2,9,7,0.25,122,1,0,0.8333333,0.2857143,1,1,16.142857,1,0.85714287,0
11,2,0,1,23,39,1,0,10,0.48333332,136,1,0,0.45454547,0.34848484,1,1,10.818182,1,0.54545456,0
8,1,2,5,22,6,4,1,6,0.6785714,185,1,0,0,0.625,0,0,21.125,4,1.875,3
28,1,0,11,52,282,7,4,28,0.9197531,300,1,3,0,0.1396104,0,0,9.285714,3,1.2857143,0
38,3,4,16,68,601,4,12,13,0.92845786,534,1,1,0.5,0.28947368,0,0,12.605263,5,1.3684211,0
7,3,0,4,38,0,0,4,3,0.8333333,258,1,1,0.88095236,0.44444445,1,1,35.285713,1,0.71428573,0
6,2,0,5,23,9,1,5,3,1.05,160,1,0,0.8648649,0.5555556,2,3,25,4,1.8333334,0
28,2,0,12,97,302,1,11,16,0.962963,1230,1,0,0.5423729,0.27232143,2,8,41.785713,20,2.2857144,0
7,1,0,4,41,15,1,3,6,0.8333333,388,0.33333334,0,0,0.2,0,0,54,3,1.2857143,2
7,1,0,4,24,0,0,4,6,0.56666666,186,1,1,0,0.61904764,0,0,24.857143,6,2.2857144,1
10,1,0,3,11,15,3,0,10,0.33333334,154,1,0,0,0.32,1,1,14.3,4,1,1
5,3,0,7,26,6,2,5,5,1.05,193,1,0,0.88235295,0.53333336,0,0,36.6,5,1.6,1
18,3,2,10,43,61,2,8,16,0.85714287,184,1,1,0.6851852,0.3888889,0,0,8.833333,1,0.9444444,0
